dataset,episode,classification,bag_duration_s,common_overlap_s,alignment_coverage_50ms,drop_events,estimated_missing,severe_gaps,usable_segments_ge_5s,usable_continuous_s,longest_continuous_s,header_clock_topics,size_bytes,errors,warnings,path
f1-5-201,episode_000131,REJECT,,,,,,,,,,,,metadata/file error: metadata.yaml is empty or invalid,,/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000131
f1-5-201,episode_000132,FRAGMENT_ONLY,61.265037415,59.17839455604553,0.9944227551589515,145,163,1,2,58.89643144607544,41.86013841629028,1,820340743,,"one or more required streams has a gap >200 ms | 145 dropped-frame events, about 163 missing messages | header clock anomaly on 1 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000132
f1-5-201,episode_000133,FRAGMENT_ONLY,60.758584859,60.706984758377075,0.9934782608695653,149,168,1,1,56.494245767593384,56.494245767593384,2,828673836,,"one or more required streams has a gap >200 ms | 149 dropped-frame events, about 168 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000133
f1-5-201,episode_000134,FRAGMENT_ONLY,60.524831498,60.47137808799744,0.9934497816593887,180,201,2,2,59.014758348464966,47.39566469192505,3,826818126,,"one or more required streams has a gap >200 ms | 180 dropped-frame events, about 201 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000134
f1-5-201,episode_000135,FRAGMENT_ONLY,60.214019609,60.13889980316162,0.9895776193088316,130,167,2,2,59.25001239776611,32.68856453895569,2,822349318,,"one or more required streams has a gap >200 ms | 130 dropped-frame events, about 167 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000135
f1-5-201,episode_000136,FRAGMENT_ONLY,62.60423284,60.420114278793335,0.9890770070999454,149,178,2,3,59.70606803894043,25.241716861724854,2,836531967,,"one or more required streams has a gap >200 ms | 149 dropped-frame events, about 178 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000136
f1-5-201,episode_000137,FRAGMENT_ONLY,59.094250775,59.02038359642029,0.9843400447427293,150,197,2,2,54.15772271156311,41.55003118515015,2,807976621,,"one or more required streams has a gap >200 ms | 150 dropped-frame events, about 197 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000137
f1-5-201,episode_000138,FRAGMENT_ONLY,62.767930905,62.71247363090515,0.9889473684210527,146,184,2,2,59.007317543029785,34.655006647109985,3,851824413,,"one or more required streams has a gap >200 ms | 146 dropped-frame events, about 184 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000138
f1-5-201,episode_000139,FRAGMENT_ONLY,67.044187774,64.69177460670471,0.9892911779704232,176,208,3,3,61.365997076034546,32.635587215423584,2,899787962,,"one or more required streams has a gap >200 ms | 176 dropped-frame events, about 208 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000139
f1-5-201,episode_000140,FRAGMENT_ONLY,63.585619348,61.50242352485657,0.9887339055793991,164,212,2,2,60.685224294662476,43.89248442649841,3,857334379,,"one or more required streams has a gap >200 ms | 164 dropped-frame events, about 212 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000140
f1-5-201,episode_000141,FRAGMENT_ONLY,57.782762813,55.59198307991028,0.9827893175074184,161,212,3,4,54.56949782371521,20.995407104492188,2,777291511,,"one or more required streams has a gap >200 ms | 161 dropped-frame events, about 212 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000141
f1-5-201,episode_000142,FRAGMENT_ONLY,63.156405321,60.95331072807312,0.9880952380952381,181,220,2,2,58.17606329917908,33.4620943069458,3,846309594,,"one or more required streams has a gap >200 ms | 181 dropped-frame events, about 220 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000142
f1-5-201,episode_000143,FRAGMENT_ONLY,64.470646358,64.40316534042358,0.9825819672131147,196,251,6,4,62.21470355987549,31.17889904975891,3,878244873,,"one or more required streams has a gap >200 ms | 196 dropped-frame events, about 251 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000143
f1-5-201,episode_000144,READY,66.383771219,64.19773697853088,0.9958890030832477,166,185,0,1,64.19773697853088,64.19773697853088,3,898502854,,"166 dropped-frame events, about 185 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000144
